No,名称,北緯,東経
105,白石城,38.00257,140.617138
113,土浦城,36.084842,140.198167
131,村上城,38.219848,139.485001
138,越前大野城,35.986611,136.48309
143,美濃金山城,35.456681,137.097378
164,洲本城,34.337695,134.902862
169,米子城,35.425035,133.324403
172,三原城,34.401199,133.082612
181,小倉城,33.884434,130.874264
194,佐伯城,32.96024,131.889838
109,米沢城,37.909647,140.104677
135,増山城,36.651353,137.040922
141,郡上八幡城,35.752983,136.961535
142,苗木城,35.5132,137.485253
155,赤木城,33.895333,135.952117
162,出石城・有子山城,35.460423,134.874272
165,大和郡山城,34.65192,135.779033
187,福江城,32.69334,128.846481
199,座喜味城,26.408707,127.741806
112,笠間城,36.382522,140.267478
126,石垣山城,35.235045,139.12705
144,大垣城,35.361978,136.616073
160_1,飯盛城(大東市),34.726401,135.653631
160_2,飯盛城(四條畷市),34.726401,135.653631
166,宇陀松山城,34.481361,135.938069
173,新高山城,34.419735,132.975963
175,勝瑞城,34.131778,134.522832
180,岡豊城,33.594907,133.622519
104,九戸城,40.267767,141.302903
107,秋田城,39.740338,140.079231
118,忍城,36.137772,139.453984
120,菅谷館,36.035436,139.32238
139,佐柿国吉城,35.613288,135.966301
149,小牧山城,35.292496,136.913437
167,新宮城,33.729899,135.99246
168,若桜鬼ケ城,35.336546,134.397992
178,能島城,34.182733,133.080999
182_1,水城（太宰府市）,33.51385331573597,130.51617245419845
182_2,水城（大野城市）,33.534948738424674,130.48039129252797
200,勝連城,26.330842,127.878519
