No,名称,北緯,東経,住所
1,わかさいも本舗,42.5501,140.7634,北海道虻田郡虻田町字洞爺湖温泉町108
2,三八菓舗,43.0583,141.3414,北海道札幌市中央区南１条西12丁目322
3,五勝手屋本舗,41.8696,140.1265,北海道桧山郡江差町字本町38
4,回進堂,39.1957,141.1732,岩手県奥州市江刺愛宕字力石211
5,乃し梅本舗佐藤屋,38.2464,140.3347,山形県山形市十日町3-10-36
6,白松がモナカ本舗,38.2612,140.8719,宮城県仙台市青葉区一番町3-5-10
7,九重本舗玉澤,38.2588,140.8732,宮城県仙台市青葉区一番町2丁目3-33
8,柏屋,37.4087,140.3957,福島県郡山市富久山町久保田字宮田127-5
9,榮太樓總本鋪,35.6826,139.7741,東京都中央区日本橋1-2-5
10,清月堂本店,35.6687,139.7661,東京都中央区銀座7-16-15
11,赤坂とらや,35.6743,139.7299,東京都港区赤坂4‐9‐22
12,うさぎや,35.7063,139.7735,東京都台東区上野1-10-10
13,銀座 菊廼舎,35.6706,139.7644,東京都中央区銀座5-9-17
14,龜屋,35.9221,139.4842,埼玉県川越市仲町4-3
15,なごみの米屋,35.7836,140.3169,千葉県成田市上町500
16,豊島屋,35.3195,139.5511,神奈川県鎌倉市小町2-11-19
17,菓子舗間瀬,35.0371,139.0838,静岡県熱海市網代400-1
18,羽二重餅總本舗松岡軒,36.0628,136.2163,福井県福井市中央3-5-19
19,小布施堂,36.6563,138.3129,長野県上高井郡小布施町808
20,越乃雪本舗大和屋,37.4522,138.8475,新潟県長岡市柳原町3-3
21,大阪屋,37.9224,139.0441,新潟県新潟市中央区古町通7番町1006-1
22,柴舟小出,36.5385,136.6346,石川県金沢市横川7丁目2-4
23,山中石川屋,36.2464,136.3758,石川県加賀市山中温泉本町2-ナ24
24,きよめ餅総本家,35.1235,136.9099,愛知県名古屋市熱田区神宮3-7-21
25,両口屋是清,35.1384,136.9634,愛知県名古屋市天白区八事天道302
26,青柳総本家,35.1585,136.9011,愛知県名古屋市中区大須2-18-50
27,備前屋,34.9568,137.1691,愛知県岡崎市伝馬通2-17
28,有限会社野田屋菓子舗,35.3218,136.7865,愛知県一宮市今伊勢町馬寄呑光寺4-6
29,御菓子つちや,35.3629,136.6111,岐阜県大垣市俵町39
30,田中屋せんべい総本家,35.3635,136.6141,岐阜県大垣市本町2-16
31,玉井屋本舗,35.4326,136.7725,岐阜県岐阜市湊町42
32,赤福,34.4604,136.7246,三重県伊勢市宇治中之切町26
33,平治煎餅本店,34.7226,136.5103,三重県津市大門20-15
34,深川屋陸奥大掾,34.8519,136.3934,三重県亀山市関町中町387
35,柳屋奉善,34.5775,136.5312,三重県松阪市中町1877
36,聖護院八ッ橋総本店,35.0192,135.7777,京都市左京区聖護院山王町6
37,豆政,35.0135,135.7646,京都市中京区夷川通柳馬場西入ル
38,総本家河道屋,35.0108,135.7671,京都市中京区姉小路御幸町西入ル
39,京都とらや,35.0248,135.7601,京都府京都市上京区一条 角広橋殿町415
40,井筒八ッ橋本舗,35.0039,135.7722,京都市東山区川端通四条上ル
41,京菓匠 鶴屋𠮷信,35.0304,135.7516,京都府京都市上京区今出川通堀川西入ル
42,本家菊屋,34.6508,135.7828,奈良県大和郡山市柳1-11
43,白玉屋榮壽,34.5316,135.8492,奈良県桜井市三輪497
44,鶴屋八幡,34.6896,135.5034,大阪府大阪市中央区今橋4丁目4-9
45,伊勢屋本店,34.8329,134.6908,兵庫県姫路市西二階町84
46,廣榮堂,34.6586,133.9354,岡山県岡山市中区中納言町7-32
47,彩雲堂,35.4646,133.0531,島根県松江市天神町124
48,風流堂,35.4542,133.0766,島根県松江市矢田町250-50
49,一六本舗,33.8421,132.7758,愛媛県松山市勝山町2丁目8-15
50,三友堂,34.3468,134.0519,香川県高松市片原町1-22
51,湖月堂,33.8851,130.8809,北九州市小倉北区魚町1-3-11
52,石村萬盛堂,33.5954,130.4038,福岡県福岡市博多区須崎町2-1
53,村岡総本舗,33.2952,130.2016,佐賀県小城市小城町861
54,丸芳露本舗北島,33.2536,130.2982,佐賀県佐賀市白山2-2-5
55,大原老舗,33.4491,129.9701,佐賀県唐津市本町1513番地17
56,カステラ本家 福砂屋,32.7423,129.8794,長崎県長崎市船大工町3-1
57,かるかん元祖明石屋,31.5936,130.5562,鹿児島県鹿児島市金生町4-16
58,お菓子の香梅,32.7936,130.7229,熊本県熊本市中央区白山1-6-3
59,金城堂,31.9161,131.4239,宮崎県宮崎市橘通東2-2-1
