No,名称,北緯,東経
1,伊丹空港,34.7861612,135.4380483
2,羽田空港,35.5431982,139.7882142
3,那覇空港,26.2001297,127.6466452
4,新千歳空港,42.7791317,141.6866364
5,新潟空港,37.9549441,139.1111814
6,中部国際空港,34.8573624,136.8107557
7,福岡空港,33.5849988,130.4490906
8,松山空港,33.8276948,132.7003773
9,小松空港,36.3928086,136.4059768
10,出雲空港,35.4136367,132.8888469
11,青森空港,40.7354587,140.6904126
12,花巻空港,39.4214468,141.1385489
13,但馬空港,35.5162788,134.789395
14,徳島空港,34.1345023,134.6180055
15,熊本空港,32.8349978,130.8589779
16,大分空港,33.4796632,131.7362008
17,長崎空港,32.9149339,129.917042
18,鹿児島空港,31.8007193,130.7202592
19,函館空港,41.7757043,140.8158222
20,南紀白浜空港,33.662184,135.3605593
21,関西国際空港,34.4319994,135.2366019
22,岡山空港,34.7579784,133.8558042
23,成田国際空港,35.770178,140.3843215
24,宮崎空港,31.8762059,131.4483982
25,高知空港,33.5476089,133.6740704
26,高松空港,34.2148952,134.0147183
27,山口宇部空港,33.9312977,131.2785382
28,広島空港,34.437296,132.9206229
29,秋田空港,39.6144778,140.2177165
30,釧路空港,43.0450955,144.1962856
31,仙台空港,38.1399076,140.9171138
32,札幌空港丘珠,43.1158533,141.3801858
33,女満別空港,43.8816455,144.1585847
34,北九州空港,33.8390089,131.033516
35,三沢空港,40.6964534,141.3877653
36,山形空港,38.4122393,140.3703441
37,旭川空港,43.6715448,142.4468435
38,帯広空港,42.7312617,143.2177738
39,種子島空港,30.6092436,130.9915774
40,喜界空港,28.3197961,129.9274656
41,奄美空港,28.4304414,129.7113205
42,徳之島空港,27.8322781,128.8832089
43,与論空港,27.0430615,128.3999492
44,沖永良部空港,27.4331345,128.7047594
45,久米島空港,26.3648255,126.7175055
46,宮古空港,24.7792938,125.2976329
47,多良間空港,24.6540373,124.6773855
48,新石垣空港,24.395962,124.2457847
49,与那国空港,24.4652232,122.9798603
50,隠岐空港,36.1776403,133.3297021
51,北大東空港,25.9444457,131.3244085
52,南大東空港,25.8459976,131.2654695
53,屋久島空港,30.3845262,130.6603495
54,奥尻空港,42.0726055,139.4355968
55,利尻空港,45.2439929,141.1841251
