No,名称,北緯,東経
1,五稜郭,41.7954134,140.7527214
2,弘前城,40.6079159,140.4636654
3,館山城,34.9824345,139.8544468
4,小田原城,35.2509493,139.1535136
5,上田城,36.4035624,138.2459171
6,松本城,36.238653,137.9688674
7,浜松城,34.7117753,137.7249058
8,岡崎城,34.956343,137.1587937
9,犬山城,35.3883604,136.9391766
10,小牧城,35.2903378,136.9108701
11,清洲城,35.2165651,136.8435922
12,名古屋城,35.1847501,136.8996883
13,岐阜城,35.433918,136.7820713
14,墨俣城,35.3670189,136.6878749
15,大垣城,35.3619739,136.6160549
16,長浜城,35.37766,136.261452
17,彦根城,35.276452,136.251846
18,二条城,35.0140379,135.7484258
19,大阪城,34.6868225,135.5287352
20,和歌山城,34.2276558,135.1715109
21,姫路城,34.839449,134.6939047
22,岡山城,34.6651878,133.9360657
23,福山城,34.4911358,133.3610764
24,広島城,34.4027456,132.4591055
25,松江城,35.4751335,133.0506783
26,岩国城,34.175242,132.1741976
27,丸亀城,34.2859887,133.800375
28,今治城,34.0633885,133.0067548
29,松山城,33.8455768,132.7655346
30,小倉城,33.8844357,130.8742541
31,佐賀城,33.2453424,130.3025805
32,唐津城,33.4534129,129.9782295
33,平戸城,33.3685455,129.5575561
34,島原城,32.7892283,130.3673433
35,熊本城,32.8061859,130.7058335
36,首里城,26.2170449,127.7194833
