No,名称,北緯,東経
1,JRタワー,43.0686,141.3508
2,さっぽろテレビ塔,43.0594,141.3564
3,五稜郭タワー,41.7946,140.7541
4,マリオス,39.7015,141.1354
5,銚子ポートタワー,35.7352,140.8572
6,千葉ポートタワー,35.5994,140.1006
7,東京タワー,35.6586,139.7454
8,東京スカイツリー,35.7101,139.8107
9,クロスランドタワー,36.6661,136.9317
10,東尋坊タワー,36.237,136.1302
11,東山スカイタワー,35.1557,136.9841
12,中部電力 MIRAI TOWER,35.1722,136.9083
13,京都タワー,34.9875,135.7593
14,あべのハルカス,34.6458,135.5139
15,通天閣,34.6525,135.5063
16,コスモタワー,34.6393,135.415
17,夢みなとタワー,35.5471,133.2678
18,ゴールドタワー,34.3082,133.7719
19,海峡ゆめタワー,33.9515,130.9314
20,福岡タワー,33.5932,130.3515
21,別府タワー,33.2842,131.5054
22,古宇利オーシャンタワー,26.7022,128.0161
