100,名称,北緯,東経
101,志苔館,41.765666,140.822137
102,上ノ国勝山館,41.800976,140.099978
103,浪岡城,40.717018,140.604436
104,九戸城,40.267767,141.302903
105,白石城,38.00257,140.617138
106,脇本城,39.902156,139.889212
107,秋田城,39.740338,140.079231
108,鶴ヶ岡城,38.728301,139.824322
109,米沢城,37.909647,140.104677
110,三春城,37.442168,140.495803
111,向羽黒山城,37.44295,139.901788
112,笠間城,36.382522,140.267478
113,土浦城,36.084842,140.198167
114,唐沢山城,36.353663,139.601033
115,名胡桃城,36.669873,138.991948
116,沼田城,36.648744,139.039549
117,岩櫃城,36.559269,138.804683
118,忍城,36.137772,139.453984
119,杉山城,36.062451,139.312094
120,菅谷館,36.035436,139.32238
121,本佐倉城,35.728253,140.260275
122,大多喜城,35.285881,140.239409
123,滝山城,35.701962,139.328292
124,品川台場,35.633488,139.771912
125,小机城,35.512529,139.59379
126,石垣山城,35.235045,139.12705
127,新府城,35.735791,138.425171
128,要害山城,35.703224,138.598889
129,龍岡城,36.196034,138.501653
130,高島城,36.039793,138.112019
131,村上城,38.219848,139.485001
132,高田城,37.11024,138.256781
133,鮫ケ尾城,37.051252,138.228805
134,富山城,36.692666,137.211495
135,増山城,36.651353,137.040922
136,鳥越城,36.36654,136.600993
137,福井城,36.065566,136.220763
138,越前大野城,35.986611,136.48309
139,佐柿国吉城,35.613288,135.966301
140,玄蕃尾城,35.597939,136.176589
141,郡上八幡城,35.752983,136.961535
142,苗木城,35.5132,137.485253
143,美濃金山城,35.456681,137.097378
144,大垣城,35.361978,136.616073
145,興国寺城,35.141077,138.806881
146,諏訪原城,34.818201,138.119552
147,高天神城,34.698637,138.03597
148,浜松城,34.711767,137.72498
149,小牧山城,35.292496,136.913437
150,古宮城,34.972486,137.428005
151,吉田城,34.770413,137.393178
152,津城,34.71726,136.507276
153,多気北畠氏城館,34.518571,136.298847
154,田丸城,34.490599,136.628093
155,赤木城,33.895333,135.952117
156,鎌刃城,35.297027,136.315387
157,八幡山城,35.144078,136.082553
158,福知山城,35.296803,135.129674
159,芥川山城,34.881113,135.588339
160,飯盛城,34.726401,135.653631
161,岸和田城,34.458767,135.37079
162,出石城・有子山城,35.460423,134.874272
163,黒井城,35.17927,135.103959
164,洲本城,34.337695,134.902862
165,大和郡山城,34.65192,135.779033
166,宇陀松山城,34.481361,135.938069
167,新宮城,33.729899,135.99246
168,若桜鬼ケ城,35.336546,134.397992
169,米子城,35.425035,133.324403
170,浜田城,34.902904,132.073332
171,備中高松城,34.693,133.822043
172,三原城,34.401199,133.082612
173,新高山城,34.419735,132.975963
174,大内氏館・高嶺城,34.184212,131.480475
175,勝瑞城,34.131778,134.522832
176,一宮城,34.034,134.463138
177,引田城,34.233258,134.409265
178,能島城,34.182733,133.080999
179,河後森城,33.225105,132.708326
180,岡豊城,33.594907,133.622519
181,小倉城,33.884434,130.874264
182,水城,33.518398,130.493261
183,久留米城,33.328628,130.507837
184,基肄城,33.444541,130.510266
185,唐津城,33.453543,129.978209
186,金田城,34.30081,129.27344
187,福江城,32.69334,128.846481
188,原城,32.629044,130.254921
189,鞠智城,33.002323,130.788167
190,八代城,32.508226,130.599137
191,中津城,33.606648,131.186402
192,角牟礼城,33.309775,131.154275
193,臼杵城,33.122208,131.80415
194,佐伯城,32.96024,131.889838
195,延岡城,32.580676,131.663267
196,佐土原城,32.047966,131.425903
197,志布志城,31.48491,131.108867
198,知覧城,31.367565,130.443726
199,座喜味城,26.408707,127.741806
200,勝連城,26.330842,127.878519
