城ID,城名,日付
105,白石城,2024-02-03
104,九戸城,2024-02-25
106,脇本城,2024-06-10
107,秋田城,2024-06-07
108,鶴ヶ岡城,2024-06-08
109,米沢城,2024-03-22
110,三春城,2024-03-23
118,忍城,2023-12-28
121,本佐倉城,2024-01-24
124,品川台場,2023-12-27
127,新府城,2024-12-26
128,要害山城,2024-03-16
131,村上城,2024-09-07
134,富山城,2023-04-07
137,福井城,2023-04-05
141,郡上八幡城,2023-08-26
143,美濃金山城,2024-12-24
144,大垣城,2023-01-06
146,諏訪原城,2024-07-05
147,高天神城,2024-03-03
148,浜松城,2024-03-03
149,小牧山城,2023-05-27
151,吉田城,2023-09-02
152,津城,2024-04-26
154,田丸城,2024-04-26
157,八幡山城,2023-05-12
158,福知山城,2023-04-09
159,芥川山城,2023-03-12
160,飯盛城,2023-04-23
161,岸和田城,2023-03-24
163,黒井城,2023-04-09
164,洲本城,2024-09-28
165,大和郡山城,2024-04-27
166,宇陀松山城,2024-04-27
168,若桜鬼ケ城,2023-03-14
169,米子城,2023-03-15
170,浜田城,2023-03-16
172,三原城,2023-07-21
174,大内氏館・高嶺城,2024-11-04
175,勝瑞城,2025-01-13
176,一宮城,2025-01-13
177,引田城,2025-01-13
180,岡豊城,2023-03-04
181,小倉城,2023-11-06
182,水城,2023-11-04
183,久留米城,2023-11-04
184,基肄城,2023-11-04
185,唐津城,2024-11-08
191,中津城,2024-05-19
193,臼杵城,2024-05-18
194,佐伯城,2024-05-18
195,延岡城,2024-05-18
197,志布志城,2024-05-17
199,座喜味城,2024-11-30
